id,kode_provinsi,nama_provinsi,umur,jenis_kelamin,jumlah_kepala_keluarga,satuan,tahun
92,32,JAWA BARAT,40-44,PEREMPUAN,201418,KEPALA KELUARGA,2019
93,32,JAWA BARAT,45-49,LAKI-LAKI,1584401,KEPALA KELUARGA,2019
94,32,JAWA BARAT,45-49,PEREMPUAN,224945,KEPALA KELUARGA,2019
95,32,JAWA BARAT,50-54,LAKI-LAKI,1358441,KEPALA KELUARGA,2019
96,32,JAWA BARAT,50-54,PEREMPUAN,254263,KEPALA KELUARGA,2019
97,32,JAWA BARAT,55-59,LAKI-LAKI,1108995,KEPALA KELUARGA,2019
98,32,JAWA BARAT,55-59,PEREMPUAN,270852,KEPALA KELUARGA,2019
99,32,JAWA BARAT,60-64,LAKI-LAKI,844592,KEPALA KELUARGA,2019
100,32,JAWA BARAT,60-64,PEREMPUAN,267940,KEPALA KELUARGA,2019
101,32,JAWA BARAT,65-69,LAKI-LAKI,634237,KEPALA KELUARGA,2019
102,32,JAWA BARAT,65-69,PEREMPUAN,241408,KEPALA KELUARGA,2019
103,32,JAWA BARAT,70-74,LAKI-LAKI,348295,KEPALA KELUARGA,2019
104,32,JAWA BARAT,70-74,PEREMPUAN,187725,KEPALA KELUARGA,2019
105,32,JAWA BARAT,> 75,LAKI-LAKI,427128,KEPALA KELUARGA,2019
106,32,JAWA BARAT,> 75,PEREMPUAN,267000,KEPALA KELUARGA,2019
107,32,JAWA BARAT,15-19,LAKI-LAKI,26482,KEPALA KELUARGA,2020
108,32,JAWA BARAT,15-19,PEREMPUAN,23912,KEPALA KELUARGA,2020
109,32,JAWA BARAT,20-24,LAKI-LAKI,332489,KEPALA KELUARGA,2020
110,32,JAWA BARAT,20-24,PEREMPUAN,103160,KEPALA KELUARGA,2020
111,32,JAWA BARAT,25-29,LAKI-LAKI,1064937,KEPALA KELUARGA,2020
112,32,JAWA BARAT,25-29,PEREMPUAN,173203,KEPALA KELUARGA,2020
113,32,JAWA BARAT,30-34,LAKI-LAKI,1458819,KEPALA KELUARGA,2020
114,32,JAWA BARAT,30-34,PEREMPUAN,195703,KEPALA KELUARGA,2020
115,32,JAWA BARAT,35-39,LAKI-LAKI,1748431,KEPALA KELUARGA,2020
116,32,JAWA BARAT,35-39,PEREMPUAN,251499,KEPALA KELUARGA,2020
117,32,JAWA BARAT,40-44,LAKI-LAKI,1712154,KEPALA KELUARGA,2020
118,32,JAWA BARAT,40-44,PEREMPUAN,287050,KEPALA KELUARGA,2020
119,32,JAWA BARAT,45-49,LAKI-LAKI,1596451,KEPALA KELUARGA,2020
120,32,JAWA BARAT,45-49,PEREMPUAN,316954,KEPALA KELUARGA,2020
121,32,JAWA BARAT,50-54,LAKI-LAKI,1378117,KEPALA KELUARGA,2020
